Exposure	Outcome	bxy	se	p	nsnp
CCT2_GSMR	BDEP	-0.0164588	0.0136018	0.226263	1
CCT3_GSMR	BDEP	-0.00111474	0.0056684	0.844095	6
CCT4_GSMR	BDEP	nan	nan	nan	nan
CCT5_GSMR	BDEP	-0.00893771	0.0071254	0.209716	3
CCT6A_GSMR	BDEP	-0.00192968	0.00807732	0.811182	7
CCT6B_GSMR	BDEP	nan	nan	nan	nan
CCT6P1_GSMR	BDEP	0.00638477	0.00313298	0.0415574	6
CCT6P3_GSMR	BDEP	-0.00287454	0.00395295	0.46711	9
CCT7_GSMR	BDEP	-0.0044733	0.0134915	0.740219	1
CCT8_GSMR	BDEP	0.00290988	0.00258574	0.260437	12
CCZ1B_GSMR	BDEP	0.000852399	0.00192137	0.657301	12
CCZ1_GSMR	BDEP	-0.000443345	0.00192758	0.818092	17
CD101_GSMR	BDEP	0.0021594	0.00271193	0.42588	20
CD109_GSMR	BDEP	nan	nan	nan	nan
CD14_GSMR	BDEP	0.0118028	0.0051745	0.0225514	8
CD151_GSMR	BDEP	0.000310072	0.00524489	0.952857	10
CD164_GSMR	BDEP	nan	nan	nan	nan
CD164L2_GSMR	BDEP	nan	nan	nan	nan
CD177_GSMR	BDEP	0.000412576	0.00658456	0.950039	5
CD180_GSMR	BDEP	nan	nan	nan	nan
CD1A_GSMR	BDEP	-0.00117846	0.00394309	0.765042	11
CD1B_GSMR	BDEP	0.0023227	0.00762773	0.760742	8
CD1C_GSMR	BDEP	nan	nan	nan	nan
CD1D_GSMR	BDEP	nan	nan	nan	nan
CD1E_GSMR	BDEP	0.00124331	0.00570624	0.827518	13
CD200_GSMR	BDEP	-0.00883693	0.0167626	0.598068	1
CD200R1_GSMR	BDEP	-0.00533923	0.00445336	0.230558	10
CD200R1L_GSMR	BDEP	0.00709406	0.00671313	0.290628	6
CD207_GSMR	BDEP	-0.0238692	0.0139939	0.0880675	3
CD209_GSMR	BDEP	-0.0150519	0.00820193	0.0664815	6
CD226_GSMR	BDEP	0.0037531	0.00489972	0.443686	5
CD22_GSMR	BDEP	nan	nan	nan	nan
CD244_GSMR	BDEP	0.000732441	0.00593927	0.901852	5
CD247_GSMR	BDEP	nan	nan	nan	nan
CD248_GSMR	BDEP	0.0431122	0.0394774	0.274801	1
CD274_GSMR	BDEP	nan	nan	nan	nan
CD27-AS1_GSMR	BDEP	1.41331e-05	0.00263493	0.99572	7
CD27_GSMR	BDEP	-0.015192	0.00986226	0.123459	5
CD28_GSMR	BDEP	0.0220241	0.0166859	0.186861	1
CD2AP_GSMR	BDEP	nan	nan	nan	nan
CD2BP2_GSMR	BDEP	0.0326263	0.0214298	0.12789	1
CD2_GSMR	BDEP	-0.048796	0.0263173	0.0637188	1
CD300A_GSMR	BDEP	-0.00995246	0.00989613	0.314563	5
CD300C_GSMR	BDEP	-0.000621602	0.00248259	0.80229	13
CD300E_GSMR	BDEP	0.00425927	0.00464554	0.359221	3
CD300LB_GSMR	BDEP	0.00669118	0.00619206	0.279872	10
CD300LD_GSMR	BDEP	0.00235136	0.00439889	0.592972	5
CD300LF_GSMR	BDEP	-0.000190778	0.00534023	0.971502	7
CD302_GSMR	BDEP	-0.00155925	0.00367976	0.671757	13
CD320_GSMR	BDEP	nan	nan	nan	nan
CD33_GSMR	BDEP	0.00775629	0.00608822	0.202669	4
CD34_GSMR	BDEP	-0.0290308	0.0189969	0.126465	1
CD36_GSMR	BDEP	-0.00481883	0.00323088	0.135832	15
CD37_GSMR	BDEP	nan	nan	nan	nan
CD38_GSMR	BDEP	-0.0509843	0.0244633	0.0371502	1
CD3D_GSMR	BDEP	nan	nan	nan	nan
CD3EAP_GSMR	BDEP	-0.0212637	0.0160574	0.185425	1
CD3E_GSMR	BDEP	nan	nan	nan	nan
CD3G_GSMR	BDEP	nan	nan	nan	nan
CD40_GSMR	BDEP	-0.0128086	0.00346184	0.000215652	13
CD44_GSMR	BDEP	-0.00131684	0.00765713	0.863456	8
CD46_GSMR	BDEP	0.0278379	0.0277231	0.315311	1
CD47_GSMR	BDEP	-0.00942439	0.00417863	0.0241097	14
CD48_GSMR	BDEP	0.00124889	0.00616766	0.839533	3
CD4_GSMR	BDEP	-0.0240469	0.0153205	0.116511	3
CD52_GSMR	BDEP	-0.00437087	0.00648344	0.50021	8
CD53_GSMR	BDEP	0.0102797	0.00657535	0.117964	7
CD55_GSMR	BDEP	0.00323005	0.00250451	0.197158	19
CD58_GSMR	BDEP	0.0270188	0.027718	0.329671	1
CD59_GSMR	BDEP	-0.00182436	0.00320031	0.568638	3
CD5_GSMR	BDEP	0.0138987	0.00702674	0.047931	7
CD63_GSMR	BDEP	nan	nan	nan	nan
CD68_GSMR	BDEP	-0.00941213	0.00932056	0.312579	3
CD69_GSMR	BDEP	0.00539148	0.0354696	0.879185	1
CD6_GSMR	BDEP	0.00920681	0.00693755	0.184476	8
CD70_GSMR	BDEP	-0.00123055	0.0186634	0.94743	1
CD72_GSMR	BDEP	nan	nan	nan	nan
CD79B_GSMR	BDEP	0.00687482	0.0160799	0.668985	1
CD7_GSMR	BDEP	-0.016347	0.0190514	0.390866	1
CD81_GSMR	BDEP	nan	nan	nan	nan
CD82_GSMR	BDEP	0.00999254	0.0122034	0.412882	3
CD83_GSMR	BDEP	nan	nan	nan	nan
CD84_GSMR	BDEP	-0.0134811	0.0114917	0.240749	3
CD86_GSMR	BDEP	-0.0123111	0.0070946	0.0826925	6
CD8A_GSMR	BDEP	nan	nan	nan	nan
CD93_GSMR	BDEP	-0.00315236	0.00372493	0.397392	20
CD96_GSMR	BDEP	0.000840094	0.00423764	0.842853	12
CD97_GSMR	BDEP	-0.0283384	0.0196595	0.149454	1
CD9_GSMR	BDEP	0.00451024	0.00542345	0.405625	9
CDADC1_GSMR	BDEP	nan	nan	nan	nan
CDA_GSMR	BDEP	-0.000327754	0.00238739	0.890805	14
CDAN1_GSMR	BDEP	nan	nan	nan	nan
CDC123_GSMR	BDEP	nan	nan	nan	nan
CDC14A_GSMR	BDEP	0.00249438	0.00322404	0.43912	12
CDC14B_GSMR	BDEP	-0.00705197	0.0276295	0.798543	1
CDC16_GSMR	BDEP	-0.00243335	0.00216945	0.262015	7
CDC23_GSMR	BDEP	nan	nan	nan	nan
CDC25A_GSMR	BDEP	-0.0333551	0.0200057	0.095458	1
CDC25B_GSMR	BDEP	-0.0200281	0.0052074	0.000120022	7
CDC26_GSMR	BDEP	-0.00106731	0.00340788	0.754138	8
CDC37_GSMR	BDEP	0.0116233	0.0131747	0.377645	1
CDC37L1_GSMR	BDEP	0.0744457	0.0289744	0.0101887	1
CDC42BPA_GSMR	BDEP	-0.02593	0.0100284	0.00971916	5
CDC42BPB_GSMR	BDEP	0.0105723	0.00547186	0.0533455	5
CDC42EP1_GSMR	BDEP	-0.000753884	0.00425638	0.859415	7
CDC42EP2_GSMR	BDEP	-0.0242848	0.0117117	0.0381214	1
CDC42EP3_GSMR	BDEP	0.00382036	0.00718309	0.594827	6
CDC42EP4_GSMR	BDEP	0.00469927	0.013639	0.730436	3
CDC42_GSMR	BDEP	0.00300676	0.0047699	0.528458	14
CDC42-IT1_GSMR	BDEP	0.00636261	0.0135806	0.639422	1
CDC42SE1_GSMR	BDEP	-0.0121587	0.00455083	0.0075457	10
CDC42SE2_GSMR	BDEP	nan	nan	nan	nan
CDC45_GSMR	BDEP	-0.0205456	0.0288893	0.47697	1
CDC5L_GSMR	BDEP	0.00933877	0.0203442	0.646206	1
CDC7_GSMR	BDEP	-0.00453496	0.00275157	0.0993248	15
CDCA2_GSMR	BDEP	0.00855081	0.0244617	0.72667	1
CDCA4_GSMR	BDEP	-0.00849094	0.0107821	0.430987	3
CDCA7_GSMR	BDEP	nan	nan	nan	nan
CDCA7L_GSMR	BDEP	0.00473908	0.00557078	0.394935	12
CDCA8_GSMR	BDEP	nan	nan	nan	nan
CDCP1_GSMR	BDEP	nan	nan	nan	nan
CDH13_GSMR	BDEP	-0.0157751	0.0105183	0.133673	6
CDH1_GSMR	BDEP	0.00849627	0.00759662	0.263384	6
CDH23_GSMR	BDEP	0.00588245	0.00282464	0.0372926	14
CDH24_GSMR	BDEP	nan	nan	nan	nan
CDH26_GSMR	BDEP	nan	nan	nan	nan
CDH2_GSMR	BDEP	-0.00647355	0.00345294	0.0608211	15
CDH4_GSMR	BDEP	0.0438179	0.0125925	0.000502007	3
CDHR1_GSMR	BDEP	0.00025357	0.00826447	0.975523	7
CDHR3_GSMR	BDEP	nan	nan	nan	nan
CDIP1_GSMR	BDEP	0.00214832	0.0290267	0.941001	1
CDIPT_GSMR	BDEP	-0.0234305	0.0199025	0.23909	1
CDK10_GSMR	BDEP	0.00285994	0.00347342	0.410293	10
CDK11A_GSMR	BDEP	-0.0128974	0.0167181	0.440434	1
CDK12_GSMR	BDEP	0.005771	0.00647995	0.373147	6
CDK13_GSMR	BDEP	0.00597761	0.00786513	0.447246	6
CDK14_GSMR	BDEP	nan	nan	nan	nan
CDK15_GSMR	BDEP	-0.00735136	0.0224406	0.74322	1
CDK17_GSMR	BDEP	0.0138227	0.0253821	0.586039	1
CDK18_GSMR	BDEP	0.00388316	0.0307974	0.899663	1
CDK19_GSMR	BDEP	nan	nan	nan	nan
CDK2AP1_GSMR	BDEP	0.0110833	0.00397195	0.00526432	6
CDK3_GSMR	BDEP	nan	nan	nan	nan
CDK5R1_GSMR	BDEP	-0.00564293	0.00266461	0.0341977	15
CDK5RAP1_GSMR	BDEP	nan	nan	nan	nan
CDK5RAP2_GSMR	BDEP	0.000834425	0.00294117	0.776636	11
CDK5RAP3_GSMR	BDEP	0.00153136	0.0072716	0.833203	6
CDK6_GSMR	BDEP	0.0569148	0.0454266	0.210243	1
CDK7_GSMR	BDEP	-0.00872248	0.0112065	0.436367	1
CDK8_GSMR	BDEP	nan	nan	nan	nan
CDK9_GSMR	BDEP	nan	nan	nan	nan
CDKAL1_GSMR	BDEP	0.00314964	0.00732848	0.667356	5
CDKL1_GSMR	BDEP	0.00141028	0.00374956	0.706829	9
CDKL3_GSMR	BDEP	-0.0127099	0.0334896	0.704304	1
CDKN1A_GSMR	BDEP	-0.00579629	0.00807343	0.47279	3
CDKN1B_GSMR	BDEP	0.00234536	0.0124727	0.850846	3
CDKN1C_GSMR	BDEP	nan	nan	nan	nan
CDKN2A_GSMR	BDEP	nan	nan	nan	nan
CDKN2AIP_GSMR	BDEP	nan	nan	nan	nan
CDKN2B_GSMR	BDEP	0.00228949	0.00443596	0.60577	6
CDKN2D_GSMR	BDEP	nan	nan	nan	nan
CDKN3_GSMR	BDEP	0.0135712	0.021422	0.526396	1
CDO1_GSMR	BDEP	-0.00646687	0.00429353	0.132019	11
CDON_GSMR	BDEP	0.0343863	0.0199042	0.0840623	1
CDPF1_GSMR	BDEP	0.00829766	0.0218984	0.70475	1
CDR2_GSMR	BDEP	nan	nan	nan	nan
CDRT15_GSMR	BDEP	-0.00250592	0.00259645	0.33448	6
CDRT15P1_GSMR	BDEP	0.00348987	0.00215031	0.104598	7
CDRT4_GSMR	BDEP	0.00713235	0.00601238	0.235513	6
CDS1_GSMR	BDEP	nan	nan	nan	nan
CDS2_GSMR	BDEP	0.000912029	0.00228625	0.689953	3
CDT1_GSMR	BDEP	-0.0104536	0.0316449	0.741142	1
CDV3_GSMR	BDEP	-0.0044874	0.00746876	0.547958	5
CEACAM19_GSMR	BDEP	nan	nan	nan	nan
CEACAM21_GSMR	BDEP	-0.0029254	0.00412916	0.478652	6
CEACAM22P_GSMR	BDEP	nan	nan	nan	nan
CEACAM3_GSMR	BDEP	0.0670983	0.0310754	0.0308338	1
CEACAM4_GSMR	BDEP	-0.00594967	0.00515973	0.24887	6
CEACAM6_GSMR	BDEP	0.0184558	0.0244547	0.450433	1
CEACAMP3_GSMR	BDEP	0.00211142	0.00241938	0.38282	7
CEBPA_GSMR	BDEP	nan	nan	nan	nan
CEBPB_GSMR	BDEP	nan	nan	nan	nan
CEBPE_GSMR	BDEP	0.00307452	0.0348121	0.929624	1
CEBPG_GSMR	BDEP	nan	nan	nan	nan
CEBPZ_GSMR	BDEP	0.00266676	0.0041005	0.515467	9
CECR1_GSMR	BDEP	0.000650425	0.00560723	0.907654	3
CECR5_GSMR	BDEP	-0.0079549	0.00749144	0.288297	5
CECR6_GSMR	BDEP	-0.0032806	0.00272036	0.22784	8
CECR7_GSMR	BDEP	0.000845992	0.00275116	0.75846	5
CELA1_GSMR	BDEP	nan	nan	nan	nan
CELF2_GSMR	BDEP	nan	nan	nan	nan
CEL_GSMR	BDEP	nan	nan	nan	nan
CELSR1_GSMR	BDEP	0.000368924	0.00966439	0.969549	1
CELSR2_GSMR	BDEP	0.00050476	0.00843293	0.95227	5
CELSR3_GSMR	BDEP	-0.0111754	0.0108169	0.301536	3
CEND1_GSMR	BDEP	0.0305756	0.0277002	0.269677	1
CENPBD1_GSMR	BDEP	-0.0118172	0.00772414	0.12604	6
CENPB_GSMR	BDEP	nan	nan	nan	nan
CENPC1_GSMR	BDEP	0.00389836	0.00313438	0.213595	8
CENPE_GSMR	BDEP	-0.0068828	0.0276693	0.803552	1
CENPH_GSMR	BDEP	0.0155165	0.0330426	0.638647	1
CENPK_GSMR	BDEP	0.00754627	0.0019975	0.000158187	18
CENPM_GSMR	BDEP	nan	nan	nan	nan
CENPN_GSMR	BDEP	0.0129846	0.00636571	0.041373	1
CENPO_GSMR	BDEP	nan	nan	nan	nan
CENPP_GSMR	BDEP	-0.00162853	0.00269604	0.545813	12
CENPQ_GSMR	BDEP	-0.00530944	0.00424203	0.210705	8
CENPT_GSMR	BDEP	0.0309103	0.017602	0.079077	1
CENPV_GSMR	BDEP	nan	nan	nan	nan
CENPW_GSMR	BDEP	0.0705655	0.020798	0.000691594	1
CEP104_GSMR	BDEP	nan	nan	nan	nan
CEP112_GSMR	BDEP	nan	nan	nan	nan
CEP120_GSMR	BDEP	0.0346736	0.0175024	0.047583	1
CEP128_GSMR	BDEP	-0.00429097	0.00412755	0.298529	11
CEP135_GSMR	BDEP	-0.00506697	0.00905846	0.575914	6
CEP152_GSMR	BDEP	0.00683039	0.00491023	0.164209	5
CEP164_GSMR	BDEP	0.00085454	0.00989566	0.931184	3
CEP170B_GSMR	BDEP	-0.00607113	0.007205	0.399437	3
CEP170_GSMR	BDEP	nan	nan	nan	nan
CEP192_GSMR	BDEP	0.00124759	0.00261937	0.633866	20
CEP19_GSMR	BDEP	0.00781967	0.00332638	0.0187328	10
CEP250_GSMR	BDEP	-0.00556582	0.0113957	0.625257	1
CEP350_GSMR	BDEP	nan	nan	nan	nan
CEP41_GSMR	BDEP	0.00719055	0.00865255	0.405955	3
CEP44_GSMR	BDEP	nan	nan	nan	nan
CEP57_GSMR	BDEP	-0.0103262	0.00612155	0.0916293	5
CEP57L1_GSMR	BDEP	-0.100194	0.0295952	0.000710532	1
CEP63_GSMR	BDEP	0.00330841	0.0026324	0.208825	14
CEP68_GSMR	BDEP	nan	nan	nan	nan
CEP70_GSMR	BDEP	nan	nan	nan	nan
CEP72_GSMR	BDEP	nan	nan	nan	nan
CEP76_GSMR	BDEP	-0.00142209	0.0278956	0.959342	1
CEP78_GSMR	BDEP	-0.000163784	0.00345969	0.962242	6
CEP85_GSMR	BDEP	-0.00329138	0.00553742	0.552252	7
CEP85L_GSMR	BDEP	-0.00534398	0.00659208	0.417557	7
CEP89_GSMR	BDEP	nan	nan	nan	nan
CEP95_GSMR	BDEP	nan	nan	nan	nan
CEP97_GSMR	BDEP	nan	nan	nan	nan
CEPT1_GSMR	BDEP	0.0072697	0.00809934	0.369416	6
CERK_GSMR	BDEP	-0.00205365	0.00467696	0.66059	7
CERKL_GSMR	BDEP	-0.00497231	0.00595415	0.403662	7
CERS2_GSMR	BDEP	nan	nan	nan	nan
CERS3_GSMR	BDEP	nan	nan	nan	nan
CERS4_GSMR	BDEP	-0.00526459	0.00734444	0.473489	5
CERS5_GSMR	BDEP	0.00347206	0.00269274	0.197253	10
CERS6_GSMR	BDEP	0.0133566	0.00781571	0.0874607	6
CES1_GSMR	BDEP	-0.000152087	0.00208747	0.94192	9
CES1P1_GSMR	BDEP	-0.00293553	0.00738844	0.691136	6
CES2_GSMR	BDEP	-0.0030578	0.0251699	0.903306	1
CES4A_GSMR	BDEP	0.0352719	0.0189951	0.0633265	1
CETN3_GSMR	BDEP	nan	nan	nan	nan
CETP_GSMR	BDEP	0.0132273	0.00939485	0.159152	5
CFD_GSMR	BDEP	-0.0334345	0.0321755	0.298743	1
CFDP1_GSMR	BDEP	0.00250461	0.00499999	0.616425	8
CFH_GSMR	BDEP	0.0166679	0.0158762	0.293777	3
CFL1_GSMR	BDEP	nan	nan	nan	nan
CFL1P5_GSMR	BDEP	-0.00154226	0.00587261	0.792844	1
CFL2_GSMR	BDEP	0.000495472	0.00455216	0.913327	7
CFLAR-AS1_GSMR	BDEP	-0.00680674	0.011719	0.561356	1
CFLAR_GSMR	BDEP	-0.0120727	0.00563891	0.0322777	7
CGGBP1_GSMR	BDEP	0.00744117	0.00409783	0.0693885	7
CGREF1_GSMR	BDEP	-0.0312533	0.0246521	0.204878	1
CHAC2_GSMR	BDEP	0.0141896	0.0209543	0.498297	1
CHAF1A_GSMR	BDEP	0.00855359	0.00639865	0.181294	3
CHAMP1_GSMR	BDEP	0.0270528	0.0304712	0.37464	1
CHCHD10_GSMR	BDEP	-0.0121584	0.0113892	0.28573	5
CHCHD2_GSMR	BDEP	-0.000167983	0.00181141	0.926113	17
CHCHD3_GSMR	BDEP	-0.00434725	0.0170331	0.79855	1
CHCHD4_GSMR	BDEP	0.00352364	0.0229805	0.878137	1
CHCHD4P3_GSMR	BDEP	-0.000608849	0.00358865	0.865278	5
CHCHD5_GSMR	BDEP	0.0308226	0.0134035	0.0214712	3
CHCHD6_GSMR	BDEP	0.0266121	0.026397	0.313383	1
CHCHD7_GSMR	BDEP	nan	nan	nan	nan
CHD1L_GSMR	BDEP	0.000225848	0.00522271	0.965507	7
CHD2_GSMR	BDEP	0.00320973	0.010065	0.749803	5
CHD3_GSMR	BDEP	0.0367394	0.0203745	0.0713559	2
CHD4_GSMR	BDEP	-0.0117252	0.0142633	0.411047	3
CHD5_GSMR	BDEP	0.0318826	0.0274187	0.244909	1
CHD6_GSMR	BDEP	nan	nan	nan	nan
CHD7_GSMR	BDEP	-0.00788883	0.00763434	0.301447	6
CHD9_GSMR	BDEP	-0.00212268	0.0126296	0.866527	1
CHDH_GSMR	BDEP	0.0587191	0.0370253	0.112758	1
CHEK1_GSMR	BDEP	-0.0039386	0.0228068	0.862892	1
CHEK2_GSMR	BDEP	0.0512804	0.0273117	0.0604359	1
CHERP_GSMR	BDEP	0.00196319	0.0272921	0.942656	1
CHFR_GSMR	BDEP	0.00139648	0.0120214	0.907521	1
CHGB_GSMR	BDEP	0.00289429	0.00798069	0.716858	5
CHI3L1_GSMR	BDEP	-0.000330221	0.00505355	0.9479	7
CHI3L2_GSMR	BDEP	0.00223947	0.00233593	0.337708	18
CHIT1_GSMR	BDEP	nan	nan	nan	nan
CHKA_GSMR	BDEP	-0.0148966	0.0332221	0.65387	1
CHKB_GSMR	BDEP	nan	nan	nan	nan
CHL1_GSMR	BDEP	-0.023702	0.013389	0.0766852	3
CHML_GSMR	BDEP	0.0135796	0.017033	0.425305	1
CHMP1A_GSMR	BDEP	-0.0152842	0.0112355	0.173717	3
CHMP1B_GSMR	BDEP	-0.0124612	0.0109877	0.256751	3
CHMP2A_GSMR	BDEP	-0.0737004	0.0263575	0.00517094	1
CHMP2B_GSMR	BDEP	nan	nan	nan	nan
CHMP3_GSMR	BDEP	nan	nan	nan	nan
CHMP4A_GSMR	BDEP	nan	nan	nan	nan
CHMP4B_GSMR	BDEP	-0.00511256	0.00397387	0.198253	10
CHMP6_GSMR	BDEP	0.00537381	0.00613673	0.381205	3
CHMP7_GSMR	BDEP	nan	nan	nan	nan
CHN1_GSMR	BDEP	0.00257325	0.00378261	0.496324	10
CHN2_GSMR	BDEP	0.000337055	0.00414431	0.93518	12
CHODL_GSMR	BDEP	nan	nan	nan	nan
CHORDC1_GSMR	BDEP	-0.058048	0.0224644	0.0097662	1
CHP1_GSMR	BDEP	-0.0102386	0.00903133	0.256931	3
CHPF2_GSMR	BDEP	0.00430589	0.00879967	0.624613	3
CHPF_GSMR	BDEP	nan	nan	nan	nan
CHPT1_GSMR	BDEP	0.0025827	0.00255919	0.312886	13
CHRAC1_GSMR	BDEP	nan	nan	nan	nan
CHRFAM7A_GSMR	BDEP	-0.0044868	0.00351856	0.202245	5
CHRM3-AS2_GSMR	BDEP	0.00149536	0.00242079	0.536761	3
CHRNA10_GSMR	BDEP	nan	nan	nan	nan
CHRNA2_GSMR	BDEP	nan	nan	nan	nan
CHRNB1_GSMR	BDEP	nan	nan	nan	nan
CHRNB2_GSMR	BDEP	-0.0222019	0.0117669	0.0591864	1
CHRNE_GSMR	BDEP	0.00436763	0.00867254	0.614531	1
CHST10_GSMR	BDEP	nan	nan	nan	nan
CHST11_GSMR	BDEP	0.00533191	0.0140686	0.704693	3
CHST12_GSMR	BDEP	nan	nan	nan	nan
CHST13_GSMR	BDEP	0.00146224	0.00215638	0.497709	18
CHST14_GSMR	BDEP	0.0408689	0.0213986	0.0561473	1
CHST15_GSMR	BDEP	-0.0172484	0.00738622	0.0195319	3
CHST2_GSMR	BDEP	0.0238564	0.0109722	0.0296863	5
CHST8_GSMR	BDEP	0.00175985	0.0120949	0.884313	1
CHSY1_GSMR	BDEP	-0.00121557	0.0033612	0.717616	8
CHTOP_GSMR	BDEP	-0.00988988	0.0246945	0.688796	1
CHUK_GSMR	BDEP	0.0486981	0.0169946	0.00416336	3
CHURC1_GSMR	BDEP	0.000414157	0.00202365	0.837839	19
CIAPIN1_GSMR	BDEP	0.0157688	0.0183371	0.389822	1
CIB1_GSMR	BDEP	0.00172382	0.00240844	0.474152	9
CIB2_GSMR	BDEP	-0.000942945	0.0102481	0.926689	5
CIB3_GSMR	BDEP	nan	nan	nan	nan
CICP16_GSMR	BDEP	-0.0177451	0.0111456	0.111359	1
CIDECP_GSMR	BDEP	-0.00129813	0.0279191	0.962915	1
CIITA_GSMR	BDEP	-0.0171608	0.010813	0.112502	5
CILP_GSMR	BDEP	nan	nan	nan	nan
CINP_GSMR	BDEP	nan	nan	nan	nan
CIR1_GSMR	BDEP	0.00200318	0.00829303	0.809129	5
CIRH1A_GSMR	BDEP	nan	nan	nan	nan
CISD1_GSMR	BDEP	-0.00676107	0.00249508	0.00673331	14
CISD2_GSMR	BDEP	nan	nan	nan	nan
CITED2_GSMR	BDEP	0.00623645	0.00805362	0.438715	8
CITED4_GSMR	BDEP	0.00109578	0.00354935	0.757529	11
CKAP2_GSMR	BDEP	-0.00201079	0.00301827	0.505278	18
CKAP4_GSMR	BDEP	-0.0106693	0.0107285	0.319984	8
CKB_GSMR	BDEP	0.0352873	0.00821298	1.73496e-05	6
CKLF_GSMR	BDEP	-0.00110072	0.0137655	0.936267	3
CKM_GSMR	BDEP	-0.0123702	0.00629404	0.0493701	3
CKMT2_GSMR	BDEP	nan	nan	nan	nan
CKS2_GSMR	BDEP	-0.0116564	0.0048525	0.0162992	8
CLASP1_GSMR	BDEP	0.00503743	0.00968748	0.603068	3
CLASP2_GSMR	BDEP	0.00456872	0.021229	0.829603	1
CLCC1_GSMR	BDEP	nan	nan	nan	nan
CLCF1_GSMR	BDEP	nan	nan	nan	nan
CLC_GSMR	BDEP	0.0363892	0.0364637	0.3183	1
CLCN1_GSMR	BDEP	-0.0019735	0.00522748	0.705785	5
CLCN2_GSMR	BDEP	-0.0268888	0.0130645	0.0395754	1
CLCN3_GSMR	BDEP	nan	nan	nan	nan
CLCN6_GSMR	BDEP	0.00432657	0.00433518	0.318273	6
CLCN7_GSMR	BDEP	-0.00121928	0.00379996	0.748311	5
CLDN10_GSMR	BDEP	-0.00134447	0.0133413	0.919729	3
CLDN12_GSMR	BDEP	-0.0148752	0.0249714	0.551382	1
CLDN15_GSMR	BDEP	0.000791414	0.00658253	0.904301	6
CLDN20_GSMR	BDEP	-0.0318616	0.0270191	0.238309	1
CLDN4_GSMR	BDEP	0.0177595	0.0159526	0.265596	1
CLDN5_GSMR	BDEP	-0.00400702	0.00468039	0.391927	9
CLDN7_GSMR	BDEP	nan	nan	nan	nan
CLDND1_GSMR	BDEP	-0.0145154	0.0158073	0.358477	3
CLDND2_GSMR	BDEP	nan	nan	nan	nan
CLEC10A_GSMR	BDEP	-0.000412921	0.00525785	0.937403	9
CLEC12A_GSMR	BDEP	0.000220314	0.00170091	0.896941	21
CLEC12B_GSMR	BDEP	0.000208327	0.00214175	0.922512	18
CLEC16A_GSMR	BDEP	nan	nan	nan	nan
CLEC17A_GSMR	BDEP	0.00463958	0.0174166	0.78994	1
CLEC18A_GSMR	BDEP	0.000222387	0.00187655	0.905664	9
CLEC18C_GSMR	BDEP	nan	nan	nan	nan
CLEC1A_GSMR	BDEP	0.0072932	0.00640043	0.254501	7
CLEC1B_GSMR	BDEP	-0.000914065	0.00384386	0.812037	9
CLEC2A_GSMR	BDEP	0.000417838	0.00764055	0.956388	6
CLEC2B_GSMR	BDEP	nan	nan	nan	nan
CLEC2D_GSMR	BDEP	0.00570662	0.0161233	0.723387	3
CLEC2L_GSMR	BDEP	0.00517286	0.016536	0.754414	1
CLEC3B_GSMR	BDEP	-0.0100748	0.00465091	0.0302951	6
CLEC4F_GSMR	BDEP	0.00130618	0.00187571	0.486198	19
CLEC4G_GSMR	BDEP	-0.00271307	0.00379492	0.474658	7
CLEC5A_GSMR	BDEP	-0.00254455	0.00458151	0.578625	6
CLEC7A_GSMR	BDEP	0.00522022	0.00343921	0.129051	13
CLEC9A_GSMR	BDEP	-0.000270477	0.00429316	0.949765	6
CLECL1_GSMR	BDEP	0.0111727	0.0103216	0.27905	8
CLHC1_GSMR	BDEP	0.00344314	0.002464	0.1623	23
CLIC3_GSMR	BDEP	-0.0203715	0.0240266	0.396507	1
CLIC4_GSMR	BDEP	0.0105201	0.00662176	0.112125	8
CLIC5_GSMR	BDEP	nan	nan	nan	nan
CLIC6_GSMR	BDEP	-0.00288223	0.0103869	0.781405	3
CLINT1_GSMR	BDEP	nan	nan	nan	nan
CLIP1_GSMR	BDEP	-0.012349	0.0246264	0.616053	1
CLIP2_GSMR	BDEP	0.0156076	0.0133975	0.244036	3
CLIP3_GSMR	BDEP	-0.00532103	0.00355889	0.134878	7
CLIP4_GSMR	BDEP	-0.0108546	0.00830508	0.19122	6
CLK4_GSMR	BDEP	-0.00354537	0.00397544	0.372491	10
CLMN_GSMR	BDEP	3.23694e-05	0.00334371	0.992276	8
CLN3_GSMR	BDEP	nan	nan	nan	nan
CLN5_GSMR	BDEP	-0.00345465	0.00679462	0.611145	6
CLN6_GSMR	BDEP	-0.0013999	0.0031142	0.653055	12
CLN8_GSMR	BDEP	0.0229174	0.00866325	0.0081604	6
CLNK_GSMR	BDEP	0.0466821	0.0288554	0.105708	1
CLNS1A_GSMR	BDEP	0.000155469	0.00533649	0.976758	5
CLOCK_GSMR	BDEP	0.024548	0.00746452	0.00100677	4
CLP1_GSMR	BDEP	0.0938717	0.0181214	2.21706e-07	1
CLPB_GSMR	BDEP	-0.0180616	0.0266996	0.498739	1
CLPP_GSMR	BDEP	-0.0433674	0.023176	0.0613146	1
CLPTM1L_GSMR	BDEP	nan	nan	nan	nan
CLPX_GSMR	BDEP	0.029485	0.0258837	0.254647	1
CLRN1-AS1_GSMR	BDEP	nan	nan	nan	nan
CLSTN1_GSMR	BDEP	nan	nan	nan	nan
CLTA_GSMR	BDEP	nan	nan	nan	nan
CLTB_GSMR	BDEP	-0.0037837	0.00404584	0.349681	10
